location|,ID|,Mes1
-17.93699, -52.08812|,89E03C13-F25B-1060-B182-DB19853F9877|,-0.1831635817
-57.82866, 97.02326|,8D74C2C0-C5ED-8337-4051-8420609F9B83|,-0.1341118091
6.67847, -146.63782|,8C491496-7D43-2327-220D-838A189B5B06|,0.0427154771
-46.34354, -173.04337|,9FB3BE55-F72B-9074-6D3C-C2AA37D16B2B|,-0.0205363872
-52.73186, 127.64567|,5E70673F-C166-3869-6F42-5D2A5FB72519|,-0.0377175349
-26.75715, 61.24018|,65E147FA-A491-B1F9-687A-CE62C8EE2A86|,-0.0656243016
-11.04412, -3.95503|,10BC1E69-7627-B8A7-1E49-39D9F1546062|,-0.4776078141
17.94553, 76.09496|,0AAFE338-7CC7-4034-D751-59263E7A00EB|,-0.309858002
-70.2531, 145.60109|,B4BE778B-3F59-2536-5D3D-88AFA8A86BD2|,0.0615369097
14.26971, 71.7596|,F055EA79-7DC7-A0E9-C9E6-ECC0D88B6B8E|,0.0400812071
72.39647, -30.56751|,DC3A40D4-35C3-334E-62B3-813F9F5E74C6|,-0.0570057612
-45.63882, -8.05548|,85BDA7F3-1F69-76A9-D7E9-95355FDB9718|,-0.2133821323
42.57099, 66.21092|,A3C2B082-8FE6-57A3-CCFE-8AEC170D987B|,-0.0115117153
36.51784, 129.70236|,97209732-5290-2EC0-5293-B988E4FCF144|,-0.1077388381
-62.76904, -66.3817|,00088D4F-FDB9-F123-2EB6-3DBACE373CE3|,0.0610122249
-60.76471, 110.70268|,50562B4F-1778-DC3A-F11D-DF74A9EF4883|,0.0183107271
-54.15806, -119.87591|,CC62AE7F-D3A2-870C-CDBF-060C49EB9B1B|,-0.3683782046
77.61659, -51.60953|,16FD4E56-7411-547B-4148-BFADC51B8A40|,0.0388439824
-82.94857, -59.3904|,E4EA80E6-AF7D-76AA-EE6B-F2B9ED402E13|,-0.3390806803
-61.36403, -30.14754|,FA581AB3-2722-CB53-D308-10992B8822A1|,0.238903017
87.98487, -93.41405|,1F65C9D5-97B6-F333-29DE-E5A2E645FADA|,0.15244126
1.25538, -69.53705|,5ABD8380-61B7-39DE-E8CE-197CE05CCF8E|,0.3554932326
-35.80554, -138.25615|,DA728085-A48E-9939-5268-A678C3F11129|,-0.0830089387
82.70878, -79.27053|,257DF319-3A8B-A781-A087-50889AF72444|,-0.1956686701
75.45614, -157.95692|,E7FC7575-2680-1A2B-89AD-C50F75114911|,-0.0572019421
-20.05683, -37.78184|,4AAB945A-B8F1-2D2F-1E75-A5D16423B502|,-0.070959241
33.71716, 19.11217|,83E9840C-B27B-A899-9434-699CA2A36E8B|,-0.0107566449
15.29804, 16.9413|,22AA981D-8C9A-4B2C-F487-3E8FE52195D3|,0.1664262374
41.60169, -35.02497|,6FF52617-C184-4BC7-D390-23C0F6F275AA|,-0.1993570256
76.98691, 5.8959|,E963BC20-012E-C59F-D978-65AE1BB85560|,0.5951970122
60.74877, -25.35144|,6365EA04-C2BE-AF15-C606-94A24A7FD7E8|,-0.2130110705
-40.5224, -122.70943|,190B1B5A-1CFE-1512-5A2E-4BF4E5C735C7|,0.1852474153
84.358, -64.74587|,7E95D45E-4761-2392-2504-2F1402FE7772|,-0.0951457044
48.90962, -86.47946|,324762FE-B0AC-F551-4AA9-B85391BCF9F8|,-0.1124663228
77.5048, 155.8157|,E2DF8B8A-4E3A-3843-02E8-CFAF780A5965|,0.0312413103
61.80163, -48.24477|,E8BF9457-8A49-3772-2E26-D305658AEB84|,0.3008415869
-38.51465, -86.67205|,E73331C3-0BCF-9120-11ED-06E0D00F3813|,0.0730088678
58.59069, 37.03195|,A78D458C-FB70-3AAF-F111-7E52DAEC6B0F|,0.0080809334
-41.11378, 38.17506|,59709E38-2F54-4B21-F6DE-776958C38B97|,-0.0738580214
-81.7375, -74.94759|,37534097-3F5A-8158-25CC-9A2838975190|,-0.0368352611
17.06175, -32.76839|,569ED83D-ECA9-33FC-9CEE-03F11E306201|,-0.0831877207
24.82714, 30.95549|,F1C603A6-5F9A-DAAC-67ED-1DBABAB440C9|,-0.4384486946
86.38182, -118.93098|,65593E04-D42B-433C-EBF0-66B175FA915B|,-0.0170341648
-11.81875, 67.90942|,A8CEE857-395F-52F7-80E2-B73D9F627960|,-0.3883799305
75.14792, -81.68329|,EBA24B23-9D97-40CE-60B4-A007C6FD61AB|,-0.5254263696
-54.13558, 112.84211|,97691027-76B3-6DD9-4A2F-6AEE81F6D5D5|,-0.0206648866
9.55337, 99.36404|,DF3A165C-1DB2-90B5-6C40-2EA82758E005|,0.1373821744
-30.52184, -155.87936|,2B9AAC9F-029C-47A2-0F50-F832816C2000|,0.2189981591
-65.56914, -105.74891|,5A79B8AC-5676-3723-9559-049816338748|,-0.289220727
-52.56007, -121.96537|,27DD2A94-7F44-BFD2-6E88-3540E053EF2C|,0.1103679652
-27.41522, 151.68375|,C820E3EE-587F-E777-15EA-A9F2BEC2FF54|,0.3318670685
-63.97112, 154.96495|,D06E3478-BB78-110B-BCB7-053E14D8F6F2|,-0.0172581807
-87.50152, -57.80278|,43E77F8F-13FF-0118-D8C3-E462D7E50151|,-0.299140955
24.97203, -50.4992|,185AE4D9-86A2-82E4-B506-D42765E2666D|,0.4523708874
-30.44941, 60.37157|,E679CAB8-6310-AEAB-F7D0-E0CBAC5B9F75|,0.0733601152
-17.10859, -164.73936|,A6323C94-0154-6F6B-D15D-FB79C77CD283|,0.1148965487
-85.51016, 123.68619|,9667CAB2-15FB-8A52-F091-D49D67FFDAC0|,0.0423094212
-50.87212, -24.40114|,E25152F2-7795-8438-A62E-3A579F6F88B1|,0.0005317556
21.19382, -144.62476|,9C39C7C0-3BC3-9632-F015-8E1162010DC5|,-0.0762489101
-72.62871, -33.1614|,81F5C2E1-7A92-8E68-59EE-407E83811304|,-0.0277470162
-48.67383, 83.81426|,CF885163-57CE-72D6-615B-527C8AD2EF58|,-0.1633287684
-30.90037, -71.20644|,41E4FF9A-64F0-E244-7EB7-0071608F58FF|,0.4670720942
-49.00761, -26.09064|,7B49455B-D086-7018-797C-761805FDDEA1|,-0.0160120948
-54.24434, 39.5517|,C0876A54-B1AF-7AEC-54C9-AF7D5C05F5FF|,0.1335511037
-56.78845, -36.04087|,997EFCDA-D48E-E55F-A548-2A6C4306ABEF|,0.0519159274
85.9037, 168.64595|,938496CD-6B21-0215-A784-225E911D855B|,-0.1200617351
16.50585, -97.97258|,87A7E335-0889-A66A-A8F1-92E7529A7CB5|,0.2953234218
47.1493, -113.33943|,C8D7A610-69A6-1F37-9104-6DC12A324B80|,-0.1504208406
49.73437, -36.96537|,DCCB3D07-3419-8FD9-FD3A-1233F7356051|,0.0752286841
-15.53191, -147.79528|,2DE556AA-61FF-07BE-E564-0EB84B85BBB3|,0.1731627054
10.13211, 98.29615|,702542B5-7D0C-758F-AF5A-02C55A64C88D|,-0.5080282547
-25.48517, -12.92356|,85DF7122-CF6E-8DD8-796B-BF83333564D3|,0.0212284123
16.32409, 99.23229|,88C86857-2682-C3BC-10D1-A5CFD5A95254|,0.2797960477
44.69117, 140.61273|,F1A3D7D9-0548-168D-088F-4829D4E0823B|,-0.2187910352
29.4303, 123.90686|,801C74B1-B3AF-E2F4-4147-FD2C5271650D|,-0.1203003073
10.31102, 151.34966|,9D4D628C-AB19-6B72-2812-8C5C97B1B7F1|,-0.110017722
-53.74564, -151.90656|,B40650DC-E5AF-E285-BCC7-96813694DC3F|,-0.2057147345
-78.42435, -86.31425|,2AF421C0-D7B7-4E3C-91ED-A7DC1EF71942|,-0.0996747196
-89.34079, -38.07501|,D7CCF815-8AD3-2D46-476C-428C30043453|,0.119692566
