location|,ID|,Mes1
57.99924, 75.79533|,1BE5648C-9DC2-B15B-D260-C33810C9FAB9|,-0.0125736417
32.20502, 93.00398|,2B769893-A7FA-520F-FEE6-8787A7F9F2E0|,0.2293380425
86.05156, -153.59538|,B83ECBCA-2FFE-2F2E-6EBA-4166831B937A|,-0.3079522825
35.53549, -174.5143|,026A7EF5-641F-0F93-7DEA-B92421ED21AE|,0.4304119047
57.54939, -80.49362|,38E84DA9-B2E4-3EB9-A459-5933E28A6EB4|,-0.0263172077
16.46845, -170.21382|,506BCA0F-26FB-6D9D-259F-67577ED4BAAD|,-0.0540976697
-33.74073, 39.49736|,C84B26BD-F30F-5C25-0096-E653915B6967|,-0.1000027173
36.47942, 126.08695|,CEFE93AA-837C-4C9E-73FA-8A61DF98716C|,0.3745349944
55.43146, -125.93497|,DFBFF1EA-FED8-3FA3-AFCC-44CED18154E5|,0.1534462723
68.31814, 59.05597|,4CE5049C-7268-2D33-AE8B-B56010D96BDF|,-0.1724940012
-84.46755, 174.79052|,1F3C1381-2BC9-2052-1FBC-7007E93AC163|,-0.0857245188
50.6658, -23.49251|,2E8C0349-5200-FB6E-8D95-B530616D8D29|,-0.4126826512
-44.00507, 66.69327|,D078DD52-BD2A-ED70-5F42-2EDB1B7E2627|,-0.2033568532
22.98137, -44.51319|,FB8B632C-B600-8512-C607-EC0C5423A61F|,-0.1368918896
77.87395, 110.2932|,0F295DB6-B4B0-8148-B9B8-418AC6D348F7|,-0.2204950345
3.10096, 32.06587|,5D48367E-7B2F-E474-9007-B3F7B0EDFDBA|,-0.2236157341
-71.51506, -129.13903|,BA2286C7-55A9-B3F2-059F-9F2EA9029938|,0.1460181485
88.69694, 8.5733|,6351F272-83D3-9A28-00DA-DAFE9C2C36F6|,0.4358254242
-60.29119, 94.94411|,BB8F2361-1205-811F-E96A-889FF14909FD|,-0.2847842323
33.90695, -177.41085|,7C9B483F-C3A7-CD9D-E464-7F0697A06433|,0.2708663105
2.31882, -62.62287|,E54D079F-3031-1D1E-D268-FE5C103EC070|,-0.1276587334
68.11973, -14.24945|,38EE1D94-F244-E792-5647-01C283EEEAB2|,0.1430171907
-67.9266, 88.50191|,302888CD-4034-4428-2D2E-3B64CF94A260|,0.2833440455
-5.42619, 42.04085|,501FC6D9-2EFA-F51B-4455-29193B069656|,-0.064406347
-80.3241, 23.8871|,B24D49BE-7CEE-EEEA-C662-33382553FECD|,-0.1898258153
79.3734, 97.77863|,29F4FD83-3287-CCB4-6234-70F2E4276F0B|,-0.2216087996
44.17815, -93.34822|,B473C6FE-0443-1AFA-BC69-99A929EF138D|,0.0085397759
-87.5932, 122.26132|,5841B938-A1A2-ABE2-1B3E-89FE781B268B|,0.0098354948
27.88104, 132.11203|,1899FF7D-3DAD-41AE-E29C-9B30EB8FBAA1|,-0.4116130604
-69.74411, -151.8511|,BE5D84A3-AF68-54FF-49FE-75B1940D7A7B|,0.0640794192
-27.27529, -28.00618|,803C12EC-2272-17EA-2A0C-35ACD4B06BC9|,0.1028256214
52.16166, 13.02585|,B05572F6-04FF-54DA-F649-9495FBA940C2|,0.4387040105
-27.60335, -83.96858|,E89376DC-966D-92C2-B406-C726C78C886F|,0.3339786777
77.02753, -117.40483|,56FF7939-D23A-D873-DF6B-6E5A4D14394D|,-0.6693083354
-85.87752, -50.99101|,B1477C7B-2F13-9A5B-04F1-B76ACF3DC172|,0.0475814491
-37.07017, -171.54056|,42732551-1724-3C6C-4DFA-9B4FFC68F755|,0.1348111639
36.3973, 58.55113|,4B639BC7-423C-6BD4-7DD7-D1604587E264|,-0.2947262398
6.00651, -73.93517|,CF67B52B-C3F2-02CE-58EE-356B8C2E1E10|,-0.2386124498
-53.0945, -147.89282|,8570BC3F-4CFE-AA82-D7A1-0477B78A06FD|,0.2509431986
79.63921, 7.53932|,409DEEED-B5C5-F3A5-4A44-E87C147CF253|,-0.1290096888
53.09931, 28.97394|,1D0CB0BF-8E1A-B4AC-AA95-73F5C73B100D|,-0.4603688936
-81.32632, 2.7228|,D7D46899-46EC-5C55-FCF8-40C67F9D78D2|,0.1844237083
21.6825, -139.58978|,8B92D6E2-5CF8-4D8C-3515-1500263A4530|,-0.0761945709
-47.93003, -162.72456|,B0846EC4-9248-4A49-61EF-02FD5557771C|,-0.3115527866
51.05259, -137.99289|,C06C53A9-2F65-A8B9-F844-DEC564CC088D|,-0.0468814651
31.51772, 74.00738|,A8A54188-8598-B7FA-6B25-4300674C5284|,-0.3439184605
-5.09034, 174.71275|,94284F6B-CF70-3F02-700D-BC702708D1BD|,0.2071509669
13.77581, -78.42189|,7612FC81-716D-F1C0-74AD-33D7EF263E68|,0.2528791557
68.24608, 175.54803|,9D62E7AF-EADF-D5DA-83A6-4A16A538DD4A|,-0.3219399591
-33.1511, -31.02425|,E326CB5B-7C07-627A-9513-5CF064B2F3E3|,-0.0420744495
-1.12402, -138.79692|,DD2FA586-878E-7461-922B-BE02D8504D0D|,-0.1142996248
-83.07652, 9.9088|,22988C98-C635-6B0C-5352-95589C27FEEB|,-0.1778547165
12.00099, -48.87336|,BBD6CD5B-57BC-39BB-661D-502BEE714331|,-0.0470387404
-73.58027, 88.03989|,38D9805A-C5A7-C765-5189-90A5B3633700|,-0.1890498458
